MarginalUtilityOfMoney,MarginalUtilityOfPerforming,MarginalUtilityOfLateArrival
0.0019375,20.49,-192.375
0.0019375,20.49,-576.0
1.3233125,20.49,-576.0
1.3233125,0.03,-576.0
0.6626250000000001,0.03,-576.0
1.984,0.03,-576.0
1.984,0.03,-192.375
1.984,20.49,-192.375
1.984,0.03,-192.375
1.984,20.49,-192.375
1.984,20.49,-576.0
0.6626250000000001,20.49,-576.0
1.3233125,30.72,-576.0
1.3233125,10.26,-576.0
0.0019375,10.26,-576.0
0.0019375,10.26,-192.375
0.6626250000000001,10.26,-192.375
0.6626250000000001,10.26,-576.0
0.6626250000000001,30.72,-576.0
1.984,30.72,-576.0
1.3233125,20.49,-384.1875
1.3233125,0.03,-384.1875
0.0019375,0.03,-384.1875
0.0019375,0.03,-0.5625
0.0019375,10.26,-0.5625
1.3233125,10.26,-0.5625
1.3233125,30.72,-0.5625
1.3233125,30.72,-384.1875
1.3233125,10.26,-192.375
1.3233125,30.72,-192.375
0.0019375,30.72,-192.375
0.0019375,30.72,-576.0
1.3233125,0.03,-0.5625
0.0019375,0.03,-0.5625
0.0019375,20.49,-0.5625
0.0019375,20.49,-384.1875
0.6626250000000001,10.26,-192.375
0.6626250000000001,10.26,-576.0
0.6626250000000001,30.72,-576.0
1.984,30.72,-576.0
