TimeAllocationMutator,mutationRange,ReRoute,ModeChoice,coordDistance,probaForRandomSingleTripMode,maxAgentPlanMemorySize,fractionOfIterationsToDisableInnovation,brainExpBeta
0.8,14400.0,0.8,0.8,0.0,0.0,12.0,0.6,400.0
0.8,14400.0,0.2,0.8,0.0,0.0,12.0,0.6,400.0
0.8,14400.0,0.2,0.8,0.0,0.0,12.0,0.6,1000.0
0.8,6030.0,0.2,0.8,0.0,0.0,12.0,0.6,1000.0
0.8,6030.0,0.2,0.8,60.0,0.0,12.0,0.6,1000.0
0.8,6030.0,0.2,0.8,60.0,0.0,12.0,0.0,1000.0
0.2,6030.0,0.2,0.8,60.0,0.0,12.0,0.0,1000.0
0.2,6030.0,0.2,0.8,60.0,0.6,12.0,0.0,1000.0
0.2,6030.0,0.2,0.8,60.0,0.6,0.0,0.0,1000.0
0.2,6030.0,0.2,0.2,60.0,0.6,0.0,0.0,1000.0
0.6,8820.0,1.0,0.2,80.0,0.0,20.0,0.0,200.0
0.6,8820.0,0.4,0.2,80.0,0.0,20.0,0.0,200.0
0.6,8820.0,0.4,0.2,20.0,0.0,20.0,0.0,200.0
0.6,8820.0,0.4,0.2,20.0,0.6,20.0,0.0,200.0
0.6,8820.0,0.4,0.2,20.0,0.6,20.0,0.0,800.0
0.6,450.0,0.4,0.2,20.0,0.6,20.0,0.0,800.0
0.0,450.0,0.4,0.2,20.0,0.6,20.0,0.0,800.0
0.0,450.0,0.4,0.2,20.0,0.6,8.0,0.0,800.0
0.0,450.0,0.4,0.8,20.0,0.6,8.0,0.0,800.0
0.0,450.0,0.4,0.8,20.0,0.6,8.0,0.6,800.0
0.4,8820.0,0.0,0.0,80.0,0.8,0.0,0.8,600.0
0.4,8820.0,0.0,0.0,80.0,0.8,0.0,0.2,600.0
0.4,8820.0,0.0,0.0,80.0,0.8,0.0,0.2,0.0
0.4,8820.0,0.0,0.0,80.0,0.2,0.0,0.2,0.0
0.4,8820.0,0.0,0.6,80.0,0.2,0.0,0.2,0.0
0.4,8820.0,0.6,0.6,80.0,0.2,0.0,0.2,0.0
0.4,8820.0,0.6,0.6,80.0,0.2,12.0,0.2,0.0
0.4,8820.0,0.6,0.6,20.0,0.2,12.0,0.2,0.0
0.4,450.0,0.6,0.6,20.0,0.2,12.0,0.2,0.0
1.0,450.0,0.6,0.6,20.0,0.2,12.0,0.2,0.0
0.0,6030.0,1.0,0.4,80.0,0.6,4.0,0.8,1000.0
0.0,6030.0,1.0,0.4,80.0,0.6,4.0,0.8,400.0
0.0,6030.0,1.0,0.4,80.0,0.6,4.0,0.2,400.0
0.0,6030.0,0.4,0.4,80.0,0.6,4.0,0.2,400.0
0.0,14400.0,0.4,0.4,80.0,0.6,4.0,0.2,400.0
0.0,14400.0,0.4,0.4,20.0,0.6,4.0,0.2,400.0
0.0,14400.0,0.4,0.4,20.0,0.6,16.0,0.2,400.0
0.0,14400.0,0.4,1.0,20.0,0.6,16.0,0.2,400.0
0.6,14400.0,0.4,1.0,20.0,0.6,16.0,0.2,400.0
0.6,14400.0,0.4,1.0,20.0,0.0,16.0,0.2,400.0
0.4,450.0,0.2,0.2,0.0,0.6,20.0,0.0,800.0
0.4,450.0,0.2,0.2,0.0,0.6,20.0,0.6,800.0
0.4,450.0,0.2,0.2,0.0,0.6,8.0,0.6,800.0
0.4,450.0,0.2,0.2,0.0,0.0,8.0,0.6,800.0
0.4,450.0,0.2,0.8,0.0,0.0,8.0,0.6,800.0
0.4,450.0,0.2,0.8,60.0,0.0,8.0,0.6,800.0
1.0,450.0,0.2,0.8,60.0,0.0,8.0,0.6,800.0
1.0,8820.0,0.2,0.8,60.0,0.0,8.0,0.6,800.0
1.0,8820.0,0.2,0.8,60.0,0.0,8.0,0.6,200.0
1.0,8820.0,0.8,0.8,60.0,0.0,8.0,0.6,200.0
0.2,450.0,0.8,0.4,100.0,1.0,4.0,0.0,800.0
0.2,450.0,0.8,0.4,100.0,1.0,4.0,0.6,800.0
0.2,450.0,0.8,0.4,100.0,1.0,4.0,0.6,200.0
0.2,450.0,0.8,1.0,100.0,1.0,4.0,0.6,200.0
0.2,8820.0,0.8,1.0,100.0,1.0,4.0,0.6,200.0
0.8,8820.0,0.8,1.0,100.0,1.0,4.0,0.6,200.0
0.8,8820.0,0.8,1.0,40.0,1.0,4.0,0.6,200.0
0.8,8820.0,0.2,1.0,40.0,1.0,4.0,0.6,200.0
0.8,8820.0,0.2,1.0,40.0,1.0,16.0,0.6,200.0
0.8,8820.0,0.2,1.0,40.0,0.4,16.0,0.6,200.0
0.6,8820.0,0.8,0.2,80.0,0.6,4.0,0.6,200.0
0.6,8820.0,0.2,0.2,80.0,0.6,4.0,0.6,200.0
0.6,8820.0,0.2,0.2,20.0,0.6,4.0,0.6,200.0
0.6,8820.0,0.2,0.2,20.0,0.0,4.0,0.6,200.0
0.6,8820.0,0.2,0.2,20.0,0.0,4.0,0.0,200.0
0.6,8820.0,0.2,0.2,20.0,0.0,16.0,0.0,200.0
0.6,8820.0,0.2,0.2,20.0,0.0,16.0,0.0,800.0
0.6,8820.0,0.2,0.8,20.0,0.0,16.0,0.0,800.0
0.6,450.0,0.2,0.8,20.0,0.0,16.0,0.0,800.0
0.0,450.0,0.2,0.8,20.0,0.0,16.0,0.0,800.0
0.8,6030.0,0.4,0.2,100.0,0.0,0.0,0.0,1000.0
0.8,6030.0,0.4,0.2,100.0,0.0,0.0,0.6,1000.0
0.8,6030.0,0.4,0.2,100.0,0.0,0.0,0.6,400.0
0.8,14400.0,0.4,0.2,100.0,0.0,0.0,0.6,400.0
0.2,14400.0,0.4,0.2,100.0,0.0,0.0,0.6,400.0
0.2,14400.0,1.0,0.2,100.0,0.0,0.0,0.6,400.0
0.2,14400.0,1.0,0.2,40.0,0.0,0.0,0.6,400.0
0.2,14400.0,1.0,0.2,40.0,0.6,0.0,0.6,400.0
0.2,14400.0,1.0,0.8,40.0,0.6,0.0,0.6,400.0
0.2,14400.0,1.0,0.8,40.0,0.6,12.0,0.6,400.0
0.2,6030.0,0.2,0.2,40.0,0.2,12.0,0.6,600.0
0.2,6030.0,0.2,0.2,40.0,0.2,12.0,0.6,0.0
0.2,6030.0,0.8,0.2,40.0,0.2,12.0,0.6,0.0
0.2,14400.0,0.8,0.2,40.0,0.2,12.0,0.6,0.0
0.2,14400.0,0.8,0.8,40.0,0.2,12.0,0.6,0.0
0.2,14400.0,0.8,0.8,40.0,0.8,12.0,0.6,0.0
0.2,14400.0,0.8,0.8,40.0,0.8,12.0,0.0,0.0
0.8,14400.0,0.8,0.8,40.0,0.8,12.0,0.0,0.0
0.8,14400.0,0.8,0.8,100.0,0.8,12.0,0.0,0.0
0.8,14400.0,0.8,0.8,100.0,0.8,0.0,0.0,0.0
0.6,6030.0,1.0,1.0,60.0,1.0,16.0,1.0,200.0
0.0,6030.0,1.0,1.0,60.0,1.0,16.0,1.0,200.0
0.0,6030.0,1.0,1.0,60.0,0.4,16.0,1.0,200.0
0.0,6030.0,1.0,1.0,60.0,0.4,4.0,1.0,200.0
