TimeAllocationMutator,mutationRange,ReRoute,ModeChoice,coordDistance,probaForRandomSingleTripMode,maxAgentPlanMemorySize,fractionOfIterationsToDisableInnovation,brainExpBeta
0.4,450.0,0.4,0.2,80.0,0.4,8.0,0.88,600.0
0.4,450.0,0.4,0.2,20.0,0.4,8.0,0.88,600.0
0.4,450.0,0.4,0.2,20.0,0.4,8.0,0.88,0.0
0.4,8820.0,0.4,0.2,20.0,0.4,8.0,0.88,0.0
1.0,8820.0,0.4,0.2,20.0,0.4,8.0,0.88,0.0
1.0,8820.0,0.4,0.2,20.0,0.4,8.0,1.0,0.0
1.0,8820.0,1.0,0.2,20.0,0.4,8.0,1.0,0.0
1.0,8820.0,1.0,0.8,20.0,0.4,8.0,1.0,0.0
1.0,8820.0,1.0,0.8,20.0,0.4,20.0,1.0,0.0
1.0,8820.0,1.0,0.8,20.0,1.0,20.0,1.0,0.0
0.2,6030.0,0.0,0.6,20.0,1.0,20.0,0.8,0.0
0.2,6030.0,0.0,0.6,20.0,1.0,20.0,0.8,600.0
0.2,6030.0,0.0,0.0,20.0,1.0,20.0,0.8,600.0
0.2,14400.0,0.0,0.0,20.0,1.0,20.0,0.8,600.0
0.2,14400.0,0.0,0.0,20.0,1.0,8.0,0.8,600.0
0.2,14400.0,0.6,0.0,20.0,1.0,8.0,0.8,600.0
0.8,14400.0,0.6,0.0,20.0,1.0,8.0,0.8,600.0
0.8,14400.0,0.6,0.0,20.0,0.4,8.0,0.8,600.0
0.8,14400.0,0.6,0.0,20.0,0.4,8.0,0.92,600.0
0.8,14400.0,0.6,0.0,80.0,0.4,8.0,0.92,600.0
0.8,6030.0,1.0,0.6,60.0,1.0,12.0,0.8,200.0
0.2,6030.0,1.0,0.6,60.0,1.0,12.0,0.8,200.0
0.2,6030.0,1.0,0.6,60.0,0.4,12.0,0.8,200.0
0.2,6030.0,1.0,0.6,60.0,0.4,12.0,0.8,800.0
0.2,14400.0,1.0,0.6,60.0,0.4,12.0,0.8,800.0
0.2,14400.0,1.0,0.6,60.0,0.4,0.0,0.8,800.0
0.2,14400.0,0.4,0.6,60.0,0.4,0.0,0.8,800.0
0.2,14400.0,0.4,0.0,60.0,0.4,0.0,0.8,800.0
0.2,14400.0,0.4,0.0,60.0,0.4,0.0,0.92,800.0
0.2,14400.0,0.4,0.0,0.0,0.4,0.0,0.92,800.0
0.6,3240.0,0.4,0.4,0.0,0.0,16.0,0.8,200.0
0.6,3240.0,0.4,1.0,0.0,0.0,16.0,0.8,200.0
0.6,3240.0,0.4,1.0,0.0,0.0,16.0,0.8,800.0
0.6,11610.0,0.4,1.0,0.0,0.0,16.0,0.8,800.0
0.6,11610.0,0.4,1.0,0.0,0.0,4.0,0.8,800.0
0.6,11610.0,0.4,1.0,0.0,0.0,4.0,0.92,800.0
0.6,11610.0,1.0,1.0,0.0,0.0,4.0,0.92,800.0
0.6,11610.0,1.0,1.0,0.0,0.6,4.0,0.92,800.0
0.6,11610.0,1.0,1.0,60.0,0.6,4.0,0.92,800.0
0.0,11610.0,1.0,1.0,60.0,0.6,4.0,0.92,800.0
1.0,8820.0,0.8,0.4,40.0,0.2,0.0,1.0,200.0
1.0,8820.0,0.8,0.4,40.0,0.2,0.0,0.88,200.0
1.0,8820.0,0.8,1.0,40.0,0.2,0.0,0.88,200.0
1.0,8820.0,0.8,1.0,100.0,0.2,0.0,0.88,200.0
1.0,8820.0,0.8,1.0,100.0,0.8,0.0,0.88,200.0
1.0,8820.0,0.8,1.0,100.0,0.8,0.0,0.88,800.0
1.0,8820.0,0.2,1.0,100.0,0.8,0.0,0.88,800.0
0.4,8820.0,0.2,1.0,100.0,0.8,0.0,0.88,800.0
0.4,450.0,0.2,1.0,100.0,0.8,0.0,0.88,800.0
0.4,450.0,0.2,1.0,100.0,0.8,12.0,0.88,800.0
1.0,6030.0,0.6,0.2,60.0,0.6,8.0,0.96,800.0
1.0,6030.0,0.6,0.8,60.0,0.6,8.0,0.96,800.0
1.0,6030.0,0.6,0.8,60.0,0.6,8.0,0.96,200.0
1.0,6030.0,0.6,0.8,60.0,0.6,20.0,0.96,200.0
1.0,14400.0,0.6,0.8,60.0,0.6,20.0,0.96,200.0
1.0,14400.0,0.6,0.8,60.0,0.6,20.0,0.84,200.0
1.0,14400.0,0.6,0.8,0.0,0.6,20.0,0.84,200.0
0.4,14400.0,0.6,0.8,0.0,0.6,20.0,0.84,200.0
0.4,14400.0,0.0,0.8,0.0,0.6,20.0,0.84,200.0
0.4,14400.0,0.0,0.8,0.0,0.0,20.0,0.84,200.0

